arquivo_relativo,total_colunas,qtd_mapeadas,qtd_nao_mapeadas,todas_features_pt,orig_nao_mapeadas,hash_dicionario,datahora_processo,acao,status
data\curated\a1_physics_informed.csv,150,150,0,timestamp;leito_temp_average;esp_comb_ff_b_saida_temp;fornalha_leito_temp_10_12;fornalha_leito_temp_13_15;fornalha_leito_temp_16_18;fornalha_leito_temp_1_3;fornalha_leito_temp_4_6;fornalha_leito_temp_7_9;temp_vapor_reaquec_1;lms_pdr_bin_flud_air_htr_temp;miain_vapor_temp;t_bfbp_b_entrada_temp;temp_no_6_hp_heater_feed_wtr;temp_no_7_hp_heater_feed_wtr;temp_no_8_hp_heater_feed_wtr;temp_gas_in_econ_lado_a_saida;temp_gas_in_econ_lado_b_saida;temp_hot_pri_air_in_preaq_ar_saida;temp_ar_flu_ap_vent_saida_head_pipe;temp_1_fornalha_a_inner;temp_1_fornalha_b_inner;temp_3_fornalha_a_inner;temp_3_fornalha_b_inner;temp_3_lph_saida_wtr;temp_4_lph_saida_wtr;temp_cnd_bomba_saida_header;temp_cnd_agua_desaerador_entrada;temp_fornalha_a_saida;temp_fornalha_b_saida;temp_gas_in_preaq_ar_saida;temp_gas_in_ltr_lado_a_entrada;temp_gas_in_ltr_lado_a_saida;temp_gas_in_ltr_lado_b_entrada;temp_gas_in_ltr_lado_b_saida;temp_ar_flu_ap_vent_a_saida;temp_ar_flu_ap_vent_b_saida;temp_ar_flu_ap_vent_c_saida;temp_cyclone_a_entrada;temp_cyclone_b_entrada;temp_cyclone_c_entrada;differential_pressao_fornalha_a;differential_pressao_fornalha_b;esp_comb_ff_a_entrada_pressao_1;esp_comb_ff_a_entrada_pressao_2;esp_comb_ff_b_entrada_pressao_1;esp_comb_ff_b_entrada_pressao_2;esp_comb_ff_b_saida_pressao;vent_tiragem_vent_a_saida_pressao;vent_tiragem_vent_b_saida_pressao;lms_pdr_bin_flud_blwr_pressao;pressao_2_3_fornalha_b_leito;pressao_1_fornalha_a_leito;pressao_1_fornalha_b_leito;pressao_3_fornalha_leito;pressao_fornalha_a_inf;pressao_fornalha_b_inf;pressao_ar_sec_vent_a_saida;pressao_ar_sec_vent_b_saida;pressao_air_in_stm_preaq_ar_paf_a_saida;pressao_air_in_stm_preaq_ar_paf_b_saida;pressao_hot_pri_air_in_preaq_ar_saida;pressao_hot_ar_sec_saf_a_in_preaq_ar_sai;pressao_condensado_bomba_a_entrada;pressao_condensado_bomba_b_entrada;pressao_gas_in_preaq_ar_saida;pressao_gas_in_econ_lado_b_saida;pressao_gas_in_ltr_lado_a_entrada;pressao_gas_in_ltr_lado_a_saida;pressao_gas_in_ltr_lado_b_entrada;pressao_gas_in_ltr_lado_b_saida;pressao_ar_flu_ap_vent_a_saida_head;pressao_ar_flu_ap_vent_b_saida_head;pressao_ar_flu_ap_vent_c_saida_head;pressao_ar_flu_ap_vent_saida_head_pipe;u_valve_a_entrada_static_pressao;u_valve_b_entrada_static_pressao;u_valve_c_entrada_static_pressao;vacuum_pres_from_tcs;vazao_agua_alimentacao;vazao_cnd_agua_before_desaerador;vazao_output_belt_carvao_fdr_a1;vazao_output_belt_carvao_fdr_a2;vazao_output_belt_carvao_fdr_b1;vazao_output_belt_carvao_fdr_b2;vazao_output_belt_carvao_fdr_b3;vazao_output_belt_carvao_fdr_b4;vazao_output_belt_carvao_fdr_c1;vazao_output_belt_carvao_fdr_c2;vazao_total_a;vazao_total_b;vazao_total_c;vazao_vapor_principal;total_fuel_vazao;corr_ar_alta_press_vent_motor_a;corr_ar_alta_press_vent_motor_b_a;corr_ar_alta_press_vent_motor_c_a;corr_induced_draft_vent_motor_a;corr_induced_draft_vent_motor_b_a;corr_primary_air_vent_motor_a;corr_primary_air_vent_motor_b_a;corr_secondary_air_vent_motor_a;corr_secondary_air_vent_motor_b_a;dev_corrente_a;desaerador_pressao;desaerador_upstream_pressao;pressao_tambor;pressao_vapor_reaquec;pressao_vapor_principal;pressao_condensado_bomba_a_saida;pressao_condensado_bomba_b_saida;preaq_ar_main_motor_phase_u_corrente_nan;preaq_ar_main_motor_phase_w_corrente_nan;vent_tiragem_vent_a_move_impeller_pos_fb;vent_tiragem_vent_b_move_impeller_pos_fb;porcentagem_de_ar_primario;pressao_fornalha;pressao_1_fornalha_a_sup;pressao_1_fornalha_b_sup;pressao_fornalha_a_medio;pressao_fornalha_b_medio;burner_perc_do_ar_total;carvao_perc_do_ar_total;inf_perc_do_ar_total;o2_medio;desaerador_agua_nivel;nivel_tambor;lado_a_nivel_tambor;lado_b_nivel_tambor;ar_prim_vent_a_fq_speed_feedback;ar_prim_vent_b_fq_speed_feedback;ar_sec_vent_a_fq_speed_feedback;ar_sec_vent_b_fq_speed_feedback;poeira_concentrat_raw_flue_gas_mg_m3;so2_con_clean_flue_gas_rectifi_mg_m3;so2_concentration_raw_flue_gas_mg_m3;fsh_saida_coletor_temp_adegc_min;hi_temp_rh_temp_adegc_min;vazao_ar_total_knm3_h;vazao_ar_prim_total_knm3_h;1_lms_pdr_bin_continous_lvl_m;2_lms_pdr_bin_continous_lvl_m;vent_tiragem_a_volumetric_vazao_rate_cal;vent_tiragem_b_volumetric_vazao_rate_cal;fsh_saida_coletor_pres_mpa;hi_temperture_reheol_pres_mpa;media_horaria_so2_apos_fgd_mg_nm3;so2_con_raw_flue_gas_rectified_mg_nm3;unit_actual;status_operacao,,73078b08b9ab591a9871889bdcb0e69c04329ab83d069534ffd21dc19ef8a5df,2025-08-15 18:54:44,backup_e_normalizacao,ok
data\curated\a1_physics_informed_enriched.csv,154,150,4,timestamp;leito_temp_average;esp_comb_ff_b_saida_temp;fornalha_leito_temp_10_12;fornalha_leito_temp_13_15;fornalha_leito_temp_16_18;fornalha_leito_temp_1_3;fornalha_leito_temp_4_6;fornalha_leito_temp_7_9;temp_vapor_reaquec_1;lms_pdr_bin_flud_air_htr_temp;miain_vapor_temp;t_bfbp_b_entrada_temp;temp_no_6_hp_heater_feed_wtr;temp_no_7_hp_heater_feed_wtr;temp_no_8_hp_heater_feed_wtr;temp_gas_in_econ_lado_a_saida;temp_gas_in_econ_lado_b_saida;temp_hot_pri_air_in_preaq_ar_saida;temp_ar_flu_ap_vent_saida_head_pipe;temp_1_fornalha_a_inner;temp_1_fornalha_b_inner;temp_3_fornalha_a_inner;temp_3_fornalha_b_inner;temp_3_lph_saida_wtr;temp_4_lph_saida_wtr;temp_cnd_bomba_saida_header;temp_cnd_agua_desaerador_entrada;temp_fornalha_a_saida;temp_fornalha_b_saida;temp_gas_in_preaq_ar_saida;temp_gas_in_ltr_lado_a_entrada;temp_gas_in_ltr_lado_a_saida;temp_gas_in_ltr_lado_b_entrada;temp_gas_in_ltr_lado_b_saida;temp_ar_flu_ap_vent_a_saida;temp_ar_flu_ap_vent_b_saida;temp_ar_flu_ap_vent_c_saida;temp_cyclone_a_entrada;temp_cyclone_b_entrada;temp_cyclone_c_entrada;differential_pressao_fornalha_a;differential_pressao_fornalha_b;esp_comb_ff_a_entrada_pressao_1;esp_comb_ff_a_entrada_pressao_2;esp_comb_ff_b_entrada_pressao_1;esp_comb_ff_b_entrada_pressao_2;esp_comb_ff_b_saida_pressao;vent_tiragem_vent_a_saida_pressao;vent_tiragem_vent_b_saida_pressao;lms_pdr_bin_flud_blwr_pressao;pressao_2_3_fornalha_b_leito;pressao_1_fornalha_a_leito;pressao_1_fornalha_b_leito;pressao_3_fornalha_leito;pressao_fornalha_a_inf;pressao_fornalha_b_inf;pressao_ar_sec_vent_a_saida;pressao_ar_sec_vent_b_saida;pressao_air_in_stm_preaq_ar_paf_a_saida;pressao_air_in_stm_preaq_ar_paf_b_saida;pressao_hot_pri_air_in_preaq_ar_saida;pressao_hot_ar_sec_saf_a_in_preaq_ar_sai;pressao_condensado_bomba_a_entrada;pressao_condensado_bomba_b_entrada;pressao_gas_in_preaq_ar_saida;pressao_gas_in_econ_lado_b_saida;pressao_gas_in_ltr_lado_a_entrada;pressao_gas_in_ltr_lado_a_saida;pressao_gas_in_ltr_lado_b_entrada;pressao_gas_in_ltr_lado_b_saida;pressao_ar_flu_ap_vent_a_saida_head;pressao_ar_flu_ap_vent_b_saida_head;pressao_ar_flu_ap_vent_c_saida_head;pressao_ar_flu_ap_vent_saida_head_pipe;u_valve_a_entrada_static_pressao;u_valve_b_entrada_static_pressao;u_valve_c_entrada_static_pressao;vacuum_pres_from_tcs;vazao_agua_alimentacao;vazao_cnd_agua_before_desaerador;vazao_output_belt_carvao_fdr_a1;vazao_output_belt_carvao_fdr_a2;vazao_output_belt_carvao_fdr_b1;vazao_output_belt_carvao_fdr_b2;vazao_output_belt_carvao_fdr_b3;vazao_output_belt_carvao_fdr_b4;vazao_output_belt_carvao_fdr_c1;vazao_output_belt_carvao_fdr_c2;vazao_total_a;vazao_total_b;vazao_total_c;vazao_vapor_principal;total_fuel_vazao;corr_ar_alta_press_vent_motor_a;corr_ar_alta_press_vent_motor_b_a;corr_ar_alta_press_vent_motor_c_a;corr_induced_draft_vent_motor_a;corr_induced_draft_vent_motor_b_a;corr_primary_air_vent_motor_a;corr_primary_air_vent_motor_b_a;corr_secondary_air_vent_motor_a;corr_secondary_air_vent_motor_b_a;dev_corrente_a;desaerador_pressao;desaerador_upstream_pressao;pressao_tambor;pressao_vapor_reaquec;pressao_vapor_principal;pressao_condensado_bomba_a_saida;pressao_condensado_bomba_b_saida;preaq_ar_main_motor_phase_u_corrente_nan;preaq_ar_main_motor_phase_w_corrente_nan;vent_tiragem_vent_a_move_impeller_pos_fb;vent_tiragem_vent_b_move_impeller_pos_fb;porcentagem_de_ar_primario;pressao_fornalha;pressao_1_fornalha_a_sup;pressao_1_fornalha_b_sup;pressao_fornalha_a_medio;pressao_fornalha_b_medio;burner_perc_do_ar_total;carvao_perc_do_ar_total;inf_perc_do_ar_total;o2_medio;desaerador_agua_nivel;nivel_tambor;lado_a_nivel_tambor;lado_b_nivel_tambor;ar_prim_vent_a_fq_speed_feedback;ar_prim_vent_b_fq_speed_feedback;ar_sec_vent_a_fq_speed_feedback;ar_sec_vent_b_fq_speed_feedback;poeira_concentrat_raw_flue_gas_mg_m3;so2_con_clean_flue_gas_rectifi_mg_m3;so2_concentration_raw_flue_gas_mg_m3;fsh_saida_coletor_temp_adegc_min;hi_temp_rh_temp_adegc_min;vazao_ar_total_knm3_h;vazao_ar_prim_total_knm3_h;1_lms_pdr_bin_continous_lvl_m;2_lms_pdr_bin_continous_lvl_m;vent_tiragem_a_volumetric_vazao_rate_cal;vent_tiragem_b_volumetric_vazao_rate_cal;fsh_saida_coletor_pres_mpa;hi_temperture_reheol_pres_mpa;media_horaria_so2_apos_fgd_mg_nm3;so2_con_raw_flue_gas_rectified_mg_nm3;unit_actual;status_operacao,tau_densa;tau_diluida;tau_backpass;tau_global,73078b08b9ab591a9871889bdcb0e69c04329ab83d069534ffd21dc19ef8a5df,2025-08-15 18:54:44,backup_e_normalizacao,ok
data\curated\a1_physics_informed_proxies.csv,166,150,16,timestamp;leito_temp_average;esp_comb_ff_b_saida_temp;fornalha_leito_temp_10_12;fornalha_leito_temp_13_15;fornalha_leito_temp_16_18;fornalha_leito_temp_1_3;fornalha_leito_temp_4_6;fornalha_leito_temp_7_9;temp_vapor_reaquec_1;lms_pdr_bin_flud_air_htr_temp;miain_vapor_temp;t_bfbp_b_entrada_temp;temp_no_6_hp_heater_feed_wtr;temp_no_7_hp_heater_feed_wtr;temp_no_8_hp_heater_feed_wtr;temp_gas_in_econ_lado_a_saida;temp_gas_in_econ_lado_b_saida;temp_hot_pri_air_in_preaq_ar_saida;temp_ar_flu_ap_vent_saida_head_pipe;temp_1_fornalha_a_inner;temp_1_fornalha_b_inner;temp_3_fornalha_a_inner;temp_3_fornalha_b_inner;temp_3_lph_saida_wtr;temp_4_lph_saida_wtr;temp_cnd_bomba_saida_header;temp_cnd_agua_desaerador_entrada;temp_fornalha_a_saida;temp_fornalha_b_saida;temp_gas_in_preaq_ar_saida;temp_gas_in_ltr_lado_a_entrada;temp_gas_in_ltr_lado_a_saida;temp_gas_in_ltr_lado_b_entrada;temp_gas_in_ltr_lado_b_saida;temp_ar_flu_ap_vent_a_saida;temp_ar_flu_ap_vent_b_saida;temp_ar_flu_ap_vent_c_saida;temp_cyclone_a_entrada;temp_cyclone_b_entrada;temp_cyclone_c_entrada;differential_pressao_fornalha_a;differential_pressao_fornalha_b;esp_comb_ff_a_entrada_pressao_1;esp_comb_ff_a_entrada_pressao_2;esp_comb_ff_b_entrada_pressao_1;esp_comb_ff_b_entrada_pressao_2;esp_comb_ff_b_saida_pressao;vent_tiragem_vent_a_saida_pressao;vent_tiragem_vent_b_saida_pressao;lms_pdr_bin_flud_blwr_pressao;pressao_2_3_fornalha_b_leito;pressao_1_fornalha_a_leito;pressao_1_fornalha_b_leito;pressao_3_fornalha_leito;pressao_fornalha_a_inf;pressao_fornalha_b_inf;pressao_ar_sec_vent_a_saida;pressao_ar_sec_vent_b_saida;pressao_air_in_stm_preaq_ar_paf_a_saida;pressao_air_in_stm_preaq_ar_paf_b_saida;pressao_hot_pri_air_in_preaq_ar_saida;pressao_hot_ar_sec_saf_a_in_preaq_ar_sai;pressao_condensado_bomba_a_entrada;pressao_condensado_bomba_b_entrada;pressao_gas_in_preaq_ar_saida;pressao_gas_in_econ_lado_b_saida;pressao_gas_in_ltr_lado_a_entrada;pressao_gas_in_ltr_lado_a_saida;pressao_gas_in_ltr_lado_b_entrada;pressao_gas_in_ltr_lado_b_saida;pressao_ar_flu_ap_vent_a_saida_head;pressao_ar_flu_ap_vent_b_saida_head;pressao_ar_flu_ap_vent_c_saida_head;pressao_ar_flu_ap_vent_saida_head_pipe;u_valve_a_entrada_static_pressao;u_valve_b_entrada_static_pressao;u_valve_c_entrada_static_pressao;vacuum_pres_from_tcs;vazao_agua_alimentacao;vazao_cnd_agua_before_desaerador;vazao_output_belt_carvao_fdr_a1;vazao_output_belt_carvao_fdr_a2;vazao_output_belt_carvao_fdr_b1;vazao_output_belt_carvao_fdr_b2;vazao_output_belt_carvao_fdr_b3;vazao_output_belt_carvao_fdr_b4;vazao_output_belt_carvao_fdr_c1;vazao_output_belt_carvao_fdr_c2;vazao_total_a;vazao_total_b;vazao_total_c;vazao_vapor_principal;total_fuel_vazao;corr_ar_alta_press_vent_motor_a;corr_ar_alta_press_vent_motor_b_a;corr_ar_alta_press_vent_motor_c_a;corr_induced_draft_vent_motor_a;corr_induced_draft_vent_motor_b_a;corr_primary_air_vent_motor_a;corr_primary_air_vent_motor_b_a;corr_secondary_air_vent_motor_a;corr_secondary_air_vent_motor_b_a;dev_corrente_a;desaerador_pressao;desaerador_upstream_pressao;pressao_tambor;pressao_vapor_reaquec;pressao_vapor_principal;pressao_condensado_bomba_a_saida;pressao_condensado_bomba_b_saida;preaq_ar_main_motor_phase_u_corrente_nan;preaq_ar_main_motor_phase_w_corrente_nan;vent_tiragem_vent_a_move_impeller_pos_fb;vent_tiragem_vent_b_move_impeller_pos_fb;porcentagem_de_ar_primario;pressao_fornalha;pressao_1_fornalha_a_sup;pressao_1_fornalha_b_sup;pressao_fornalha_a_medio;pressao_fornalha_b_medio;burner_perc_do_ar_total;carvao_perc_do_ar_total;inf_perc_do_ar_total;o2_medio;desaerador_agua_nivel;nivel_tambor;lado_a_nivel_tambor;lado_b_nivel_tambor;ar_prim_vent_a_fq_speed_feedback;ar_prim_vent_b_fq_speed_feedback;ar_sec_vent_a_fq_speed_feedback;ar_sec_vent_b_fq_speed_feedback;poeira_concentrat_raw_flue_gas_mg_m3;so2_con_clean_flue_gas_rectifi_mg_m3;so2_concentration_raw_flue_gas_mg_m3;fsh_saida_coletor_temp_adegc_min;hi_temp_rh_temp_adegc_min;vazao_ar_total_knm3_h;vazao_ar_prim_total_knm3_h;1_lms_pdr_bin_continous_lvl_m;2_lms_pdr_bin_continous_lvl_m;vent_tiragem_a_volumetric_vazao_rate_cal;vent_tiragem_b_volumetric_vazao_rate_cal;fsh_saida_coletor_pres_mpa;hi_temperture_reheol_pres_mpa;media_horaria_so2_apos_fgd_mg_nm3;so2_con_raw_flue_gas_rectified_mg_nm3;unit_actual;status_operacao,tau_densa;tau_diluida;tau_backpass;tau_global;coal_flow_furnace_t_h;coal_flow_total_ref_t_h;air_total_knm3_h;air_primary_knm3_h;air_secondary_knm3_h;air_total_nm3_h;air_primary_nm3_h;air_secondary_nm3_h;air_primary_share_pct;o2_excess_pct;air_primary_press_z;air_secondary_press_z,73078b08b9ab591a9871889bdcb0e69c04329ab83d069534ffd21dc19ef8a5df,2025-08-15 18:54:44,backup_e_normalizacao,ok
outputs\baseline_datasets\compare_baseline_vs_off.csv,4,0,4,,variavel;mean_baseline;mean_off;delta_off_minus_baseline,73078b08b9ab591a9871889bdcb0e69c04329ab83d069534ffd21dc19ef8a5df,2025-08-15 18:54:44,somente_auditoria,ok
