,bed_temperature_average_adegc,esp_comb_with_ff_b_outl_temp_adegc,furnace_bed_temp_10_12_sel_adegc,furnace_bed_temp_13_15_sel_adegc,furnace_bed_temp_16_18_sel_adegc,furnace_bed_temp_1_3_sel_adegc,furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_7_9_sel_adegc,hot_reheat_steam_temperature_1_adegc,lms_pdr_bin_flud_air_htr_ol_te_adegc,miain_steam_temperature_adegc,t_bfbp_b_inlet_temperature_adegc,te_no_6_hp_heater_ol_feed_wtr_adegc,te_no_7_hp_heater_ol_feed_wtr_adegc,te_no_8_hp_heater_ol_feed_wtr_adegc,te_of_gas_in_ecmz_side_a_outl_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,te_of_hot_pri_air_in_aph_outl_adegc,te_of_hpfa_fan_outl_head_pipe_adegc,temp_1_of_furnace_a_inner_adegc,temp_1_of_furnace_b_inner_adegc,temp_3_of_furnace_a_inner_adegc,temp_3_of_furnace_b_inner_adegc,temp_of_3_lph_outl_wtr_adegc,temp_of_4_lph_outl_wtr_adegc,temp_of_cnd_pump_outl_header_adegc,temp_of_cnd_water_of_dea_inl_adegc,temp_of_furnace_a_outl_adegc,temp_of_furnace_b_outl_adegc,temp_of_gas_in_aph_outl_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,temp_of_hpfa_fan_a_outl_adegc,temp_of_hpfa_fan_b_outl_adegc,temp_of_hpfa_fan_c_outl_adegc,temperature_of_cyclone_a_inlet_adegc,temperature_of_cyclone_b_inlet_adegc,temperature_of_cyclone_c_inlet_adegc
bed_temperature_average_adegc,0.0,0.9436637798308589,0.225272819508792,0.20738391868135853,0.22009840706513914,0.15723876168695683,0.17831759304979056,0.188359670448449,0.9478803117495593,0.5651600159438688,0.9484856295894881,0.3546068836849553,0.5191345309712422,0.3060587705452547,0.2716299363023894,0.19883232645534987,0.952570992212776,0.9484930834035308,0.6410128001277557,0.9486322896795926,0.21733516461440458,0.8032948841451514,0.21049687504469658,0.9438109780470375,0.40972879326440376,0.8505339612022506,0.9456742197281484,0.18100614741157667,0.9969371550140361,0.9475866921705863,0.18236575448425366,0.19775940116243634,0.950301748196223,0.9521675678158688,0.2996994559769682,0.6512359286554656,0.03855255643653415,0.19631551693275018,0.17788084271630866,0.9491698502077294
esp_comb_with_ff_b_outl_temp_adegc,0.9436637798308589,0.0,0.2727630449932042,0.25118721797625354,0.27593862038728884,0.1812274135017461,0.2148780862885128,0.22331191947033693,0.984776560417886,0.6889725084732179,0.9819155480464138,0.513202345948212,0.6171006162768635,0.38696034469236396,0.34564793855418485,0.2500266436133203,0.990388599613241,0.982293127385578,0.7380002272938659,0.979272974464946,0.2790761311534621,0.8174947582667982,0.2677056123864618,0.9918217344558509,0.5111845115335635,0.9540298864677591,0.9889174968991692,0.21295215913559432,0.9657770866505405,0.9993693950041447,0.22187320126006013,0.24345213619256037,0.9826089435656122,0.9848868411005431,0.3630180672723386,0.7589707113652143,0.11572084882384555,0.2356170289401261,0.22175040529936124,0.9807435664570924
furnace_bed_temp_10_12_sel_adegc,0.225272819508792,0.2727630449932042,0.0,0.996073965044688,0.9935118818017807,0.9902691212414284,0.9934578863572998,0.9927713052358086,0.3899964054374102,0.6063221373586891,0.4128157624041763,0.6460059778091217,0.907081392673774,0.9793674858137438,0.9831830606218553,0.9911553471978249,0.3685343342376866,0.42612579373854353,0.7665940838871557,0.4204066712524127,0.9953937149583503,0.708665736915153,0.9929164777616468,0.32087505110758135,0.9398668625496844,0.09813201082768219,0.33927011868461215,0.9913036752073322,0.3530222269385389,0.29567712499041054,0.9927297262159726,0.9934403423305338,0.4094906587899315,0.3961083296290826,0.7768254360925546,0.5711932247050622,0.2010688285104534,0.9926234567355389,0.9913340048233796,0.41484308230123085
furnace_bed_temp_13_15_sel_adegc,0.20738391868135853,0.25118721797625354,0.996073965044688,0.0,0.9925164538923499,0.9900886799341148,0.9933477602925983,0.9932448370353193,0.36940043260216643,0.5951860922773833,0.3923285088069947,0.6609065156577055,0.8967082383755247,0.9748233201258093,0.9794676047586001,0.9912632715156653,0.3477397929445213,0.405706162509118,0.7559445333372921,0.3986636637942225,0.992828654114851,0.6915502915617215,0.9906867458120803,0.29838381958556753,0.9311618234203721,0.07709665048680014,0.3165637736467515,0.990908014396985,0.33264276969328027,0.2740386350153424,0.9925040332715152,0.9934365857181481,0.38852794779410577,0.37544361382026153,0.7788627686802824,0.562022410174604,0.19229971873642546,0.990833640373171,0.9911775017764303,0.3936541050854203
furnace_bed_temp_16_18_sel_adegc,0.22009840706513914,0.27593862038728884,0.9935118818017807,0.9925164538923499,0.0,0.9910541673141722,0.9942876553058551,0.995758015697578,0.39211216870281645,0.604044149698605,0.41515384305788394,0.6555986539872739,0.9149341622503152,0.9830894584674795,0.9878893052004316,0.9911587201406935,0.3707737233567211,0.4282984693631719,0.7671366440148145,0.42116489456004147,0.9940569078242452,0.7110133860281025,0.9972632307813571,0.32385603673726143,0.9472505234098937,0.10326089032622711,0.3420461462981637,0.9959701840262216,0.3607852869212293,0.29865366715218056,0.9964959361869509,0.9946720727485245,0.4118464364239083,0.3982582059269047,0.7754579004071323,0.5763171197596515,0.19268887612801658,0.9963911692645702,0.9969029236757055,0.4172987471807795
furnace_bed_temp_1_3_sel_adegc,0.15723876168695683,0.1812274135017461,0.9902691212414284,0.9900886799341148,0.9910541673141722,0.0,0.9975351030736832,0.995538248694813,0.30120860754833734,0.5517596179255915,0.32499387847334327,0.7171456504972675,0.8695475035726706,0.963375802539744,0.9723506932863593,0.9886632521123238,0.27881658942190735,0.338420394082798,0.7142080325743191,0.33121830772516475,0.9900289751291986,0.6409148479596112,0.992704060058332,0.2295019725795688,0.9118493903350715,0.010267334160194293,0.24760264173277283,0.9941288231241052,0.26785317218928,0.20437244295492715,0.9945792026207914,0.9919753977425493,0.32052959083242144,0.30704794604450136,0.7538894399107564,0.5068193153516989,0.2049149324503859,0.9945464246805548,0.993811113202978,0.32585865238037454
furnace_bed_temp_4_6_sel_adegc,0.17831759304979056,0.2148780862885128,0.9934578863572998,0.9933477602925983,0.9942876553058551,0.9975351030736832,0.0,0.998128685054773,0.333636473836079,0.5750454105664948,0.3572672828059375,0.6922187682072525,0.8842957502260619,0.9701503429745384,0.9772805832603525,0.9908567656692594,0.31178964871018044,0.3706308968578586,0.7341731921959834,0.3634576225751503,0.993209823681976,0.6648379178903928,0.9940235810968856,0.2627758556839217,0.922385811560772,0.04344208367634348,0.28086735473362395,0.9947438369272517,0.3001536302286938,0.23787263724062974,0.9956829428389008,0.994274156909715,0.3532088379406076,0.3397550051202848,0.7641969536507652,0.533514011142552,0.19789465139910317,0.9951473949755789,0.9950093105059998,0.3585821432680601
furnace_bed_temp_7_9_sel_adegc,0.188359670448449,0.22331191947033693,0.9927713052358086,0.9932448370353193,0.995758015697578,0.995538248694813,0.998128685054773,0.0,0.34236595656327184,0.5779535415206889,0.365847320655659,0.687498900767307,0.8888417765120091,0.9721288083420372,0.9787823601263189,0.9906974935340934,0.32046705892472044,0.37917173677060095,0.7371884177490117,0.37194244820052486,0.992349620481828,0.6715869668119965,0.9937209445740759,0.27129008036896207,0.9259337883879066,0.0503390215987618,0.28948797910025714,0.9955268897177452,0.30978379802153094,0.24635984645461934,0.9960335483155873,0.9942248738542734,0.3619783388705564,0.34846797763672543,0.7694851718537511,0.5424785104531685,0.1868213526807081,0.994802920402699,0.9957190773387096,0.3673619135827167
hot_reheat_steam_temperature_1_adegc,0.9478803117495593,0.984776560417886,0.3899964054374102,0.36940043260216643,0.39211216870281645,0.30120860754833734,0.333636473836079,0.34236595656327184,0.0,0.7331010221106107,0.9992146544163247,0.41009624944588335,0.7078936745198121,0.49762725122101725,0.4583497161386303,0.3675179578262219,0.9961495593118037,0.9952667357616471,0.7890328365114253,0.9947626778853984,0.3952895354590132,0.8759038849220164,0.38417345780292433,0.9873219071096214,0.6109693858576382,0.9037794969264219,0.987934438458755,0.3320900792142783,0.9685239079244338,0.9883375590042786,0.3407844101495714,0.36203702714056507,0.9959802311639326,0.996433194557389,0.4424780993095379,0.7875371931516255,0.10968856766106987,0.3538829867468934,0.33988655233966836,0.9949738171680892
lms_pdr_bin_flud_air_htr_ol_te_adegc,0.5651600159438688,0.6889725084732179,0.6063221373586891,0.5951860922773833,0.604044149698605,0.5517596179255915,0.5750454105664948,0.5779535415206889,0.7331010221106107,0.0,0.7399484535400725,0.01406332731300449,0.7589810642738609,0.6632606905613098,0.6400166935863222,0.5909693788151885,0.7246147112444434,0.744378783754653,0.8041824691108151,0.7362680897780216,0.6042113328693098,0.7759440241003136,0.5977269292330244,0.7054995776987381,0.6933478486016894,0.590028298955745,0.7008164559944241,0.5632890585253816,0.6960303461378946,0.6974009059342383,0.5687939399042226,0.5884838901620493,0.7347004145647492,0.7321121646950447,0.5942621760035742,0.7204851290308282,0.15824984363721015,0.5772911950786923,0.5688579301087281,0.7345021589075964
miain_steam_temperature_adegc,0.9484856295894881,0.9819155480464138,0.4128157624041763,0.3923285088069947,0.41515384305788394,0.32499387847334327,0.3572672828059375,0.365847320655659,0.9992146544163247,0.7399484535400725,0.0,0.3889661529378609,0.7242120830580736,0.5176957945475409,0.4788227564648182,0.3899240217250576,0.9960178216944191,0.9966459658536329,0.8018179484916501,0.9962390429192335,0.4177099445886633,0.8861819292327778,0.4067335972227158,0.9845654678900878,0.6287212528203107,0.8975869302229111,0.9861734073536429,0.35496793912351216,0.9684115415738705,0.9860507193307966,0.36362838773690215,0.38479335924415276,0.9970781464533897,0.9972864814769199,0.45933191539320595,0.7955490275809437,0.11399150768720599,0.3766678142815867,0.3627848041553446,0.9962658852693492
t_bfbp_b_inlet_temperature_adegc,0.3546068836849553,0.513202345948212,0.6460059778091217,0.6609065156577055,0.6555986539872739,0.7171456504972675,0.6922187682072525,0.687498900767307,0.41009624944588335,0.01406332731300449,0.3889661529378609,0.0,0.33317475337471175,0.5610036641915612,0.598793598477214,0.6653473983677476,0.43187795805998197,0.3747451510746036,0.11980697911556898,0.3857519558144483,0.644638512953118,0.003904090858451196,0.6611236821645434,0.4669011719277888,0.43689551730796844,0.611286078400295,0.45252835128918933,0.70272054845221,0.4137981815908828,0.49455123904756376,0.6955957270321199,0.6720154720084383,0.3953124985519847,0.40781921657844167,0.38042695493063355,0.07644934153806064,0.1216232248070904,0.6856319509082244,0.6966512361368856,0.39006038556105804
te_no_6_hp_heater_ol_feed_wtr_adegc,0.5191345309712422,0.6171006162768635,0.907081392673774,0.8967082383755247,0.9149341622503152,0.8695475035726706,0.8842957502260619,0.8888417765120091,0.7078936745198121,0.7589810642738609,0.7242120830580736,0.33317475337471175,0.0,0.9602282007823706,0.9477614459239566,0.9008917542977943,0.6919790298481331,0.734880240041917,0.9071599437485431,0.7278988483454242,0.9117369258050027,0.902392721345298,0.9123371034885929,0.6582555410884702,0.9799404985084055,0.4544858931775628,0.6725498487179828,0.8898458319538182,0.6727368944834463,0.6355542010477492,0.8935181748784842,0.8995015904563787,0.721545330192802,0.7111764051056223,0.7633460904888609,0.7582616161236895,0.20200900920876455,0.8998547599280912,0.8939564666265192,0.7252251137853386
te_no_7_hp_heater_ol_feed_wtr_adegc,0.3060587705452547,0.38696034469236396,0.9793674858137438,0.9748233201258093,0.9830894584674795,0.963375802539744,0.9701503429745384,0.9721288083420372,0.49762725122101725,0.6632606905613098,0.5176957945475409,0.5610036641915612,0.9602282007823706,0.0,0.9981682491690562,0.9792632335938177,0.47685683709733934,0.5304910422607265,0.8213073545835717,0.5230102526749117,0.9822481695906848,0.7821223294365773,0.9828042447251161,0.43759560250653373,0.9762318515519716,0.21075132213742603,0.45451156110419055,0.9750428565930447,0.46263214435412536,0.40878339270394676,0.9771170325843217,0.9789978034369298,0.514624827456525,0.5012907801182631,0.7855036156221015,0.6415606379458564,0.19553556261192132,0.9786748342818654,0.9770471131422375,0.5196015747520996
te_no_8_hp_heater_ol_feed_wtr_adegc,0.2716299363023894,0.34564793855418485,0.9831830606218553,0.9794676047586001,0.9878893052004316,0.9723506932863593,0.9772805832603525,0.9787823601263189,0.4583497161386303,0.6400166935863222,0.4788227564648182,0.598793598477214,0.9477614459239566,0.9981682491690562,0.0,0.9843639873560796,0.4366779169054231,0.4916989815582699,0.7989393263681618,0.48401121630749916,0.9865488086080971,0.7563072961830641,0.9886825611962821,0.3979114114728358,0.9706270298565055,0.17049294618736874,0.4152092487965892,0.9830988855958702,0.423950105094571,0.36776636478090347,0.9846740983444696,0.9845080279061706,0.47541936153029407,0.46162990475172355,0.7741401102712642,0.6104208553104398,0.2037879260546794,0.986074961623608,0.9847396492012698,0.4805845099059512
te_of_gas_in_ecmz_side_a_outl_adegc,0.19883232645534987,0.2500266436133203,0.9911553471978249,0.9912632715156653,0.9911587201406935,0.9886632521123238,0.9908567656692594,0.9906974935340934,0.3675179578262219,0.5909693788151885,0.3899240217250576,0.6653473983677476,0.9008917542977943,0.9792632335938177,0.9843639873560796,0.0,0.3477691723580373,0.40565947907336275,0.7592645958044744,0.39438007860015095,0.9909580590275502,0.6893526028079683,0.9914568892502527,0.29614225525739885,0.935406503831533,0.07176776516609105,0.31377207255718964,0.9915184981648344,0.32741339060769814,0.27326556489398834,0.9936230357109354,0.9966346334765187,0.38501281117882524,0.3726239815504665,0.780281085505128,0.5599150590269001,0.19493374908915442,0.9920719367499015,0.9917817003069874,0.3897469915272071
te_of_gas_in_ecmz_side_b_outl_adegc,0.952570992212776,0.990388599613241,0.3685343342376866,0.3477397929445213,0.3707737233567211,0.27881658942190735,0.31178964871018044,0.32046705892472044,0.9961495593118037,0.7246147112444434,0.9960178216944191,0.43187795805998197,0.6919790298481331,0.47685683709733934,0.4366779169054231,0.3477691723580373,0.0,0.9976506202680259,0.7849794628714205,0.9948364497859631,0.3738250603938702,0.8668334593552192,0.36238576297299274,0.9891935612055117,0.5927848679905515,0.9161548265283666,0.9904072919858664,0.3095405400997658,0.9705612368938548,0.9936399490574701,0.3184402608252885,0.34055113675633697,0.9964391900049498,0.9979698351091995,0.4327804002618183,0.7872310584237514,0.11026580642955615,0.3315935274705979,0.317592629428132,0.9952743370098363
te_of_hot_pri_air_in_aph_outl_adegc,0.9484930834035308,0.982293127385578,0.42612579373854353,0.405706162509118,0.4282984693631719,0.338420394082798,0.3706308968578586,0.37917173677060095,0.9952667357616471,0.744378783754653,0.9966459658536329,0.3747451510746036,0.734880240041917,0.5304910422607265,0.4916989815582699,0.40565947907336275,0.9976506202680259,0.0,0.8165939861621231,0.9961184795445841,0.43110979986866294,0.892156742685623,0.4199736981762086,0.9840907005835179,0.6407921925322322,0.8982418878104503,0.9865503015206829,0.3687819612662876,0.968521498589527,0.9869680255084023,0.3774333279936062,0.39862285107375156,0.9968735037369375,0.9973234940365949,0.4741849831391091,0.8050701549316203,0.12122545563068096,0.3902276496290485,0.3764937232543685,0.9960168327229729
te_of_hpfa_fan_outl_head_pipe_adegc,0.6410128001277557,0.7380002272938659,0.7665940838871557,0.7559445333372921,0.7671366440148145,0.7142080325743191,0.7341731921959834,0.7371884177490117,0.7890328365114253,0.8041824691108151,0.8018179484916501,0.11980697911556898,0.9071599437485431,0.8213073545835717,0.7989393263681618,0.7592645958044744,0.7849794628714205,0.8165939861621231,0.0,0.7978409638872388,0.766423550403455,0.8883195724152687,0.759685379935482,0.7477435503046244,0.8466650570222037,0.6340868665976176,0.7548318467010374,0.7281376223458427,0.7594270991903749,0.7491801659490899,0.7350461556446252,0.7521730120951338,0.7943954893312751,0.7927695954277212,0.7650661318438885,0.8626707176765561,0.23794598981345993,0.7407091726840103,0.7331046418712593,0.7943345232298548
