,bed_temperature_average_adegc,esp_comb_with_ff_b_outl_temp_adegc,furnace_bed_temp_10_12_sel_adegc,furnace_bed_temp_13_15_sel_adegc,furnace_bed_temp_16_18_sel_adegc,furnace_bed_temp_1_3_sel_adegc,furnace_bed_temp_4_6_sel_adegc,furnace_bed_temp_7_9_sel_adegc,hot_reheat_steam_temperature_1_adegc,lms_pdr_bin_flud_air_htr_ol_te_adegc,miain_steam_temperature_adegc,t_bfbp_b_inlet_temperature_adegc,te_no_6_hp_heater_ol_feed_wtr_adegc,te_no_7_hp_heater_ol_feed_wtr_adegc,te_no_8_hp_heater_ol_feed_wtr_adegc,te_of_gas_in_ecmz_side_a_outl_adegc,te_of_gas_in_ecmz_side_b_outl_adegc,te_of_hot_pri_air_in_aph_outl_adegc,te_of_hpfa_fan_outl_head_pipe_adegc,temp_1_of_furnace_a_inner_adegc,temp_1_of_furnace_b_inner_adegc,temp_3_of_furnace_a_inner_adegc,temp_3_of_furnace_b_inner_adegc,temp_of_3_lph_outl_wtr_adegc,temp_of_4_lph_outl_wtr_adegc,temp_of_cnd_pump_outl_header_adegc,temp_of_cnd_water_of_dea_inl_adegc,temp_of_furnace_a_outl_adegc,temp_of_furnace_b_outl_adegc,temp_of_gas_in_aph_outl_adegc,temp_of_gas_in_ltr_side_a_inl_adegc,temp_of_gas_in_ltr_side_a_outl_adegc,temp_of_gas_in_ltr_side_b_inl_adegc,temp_of_gas_in_ltr_side_b_outl_adegc,temp_of_hpfa_fan_a_outl_adegc,temp_of_hpfa_fan_b_outl_adegc,temp_of_hpfa_fan_c_outl_adegc,temperature_of_cyclone_a_inlet_adegc,temperature_of_cyclone_b_inlet_adegc,temperature_of_cyclone_c_inlet_adegc
temp_1_of_furnace_a_inner_adegc,0.9486322896795926,0.979272974464946,0.4204066712524127,0.3986636637942225,0.42116489456004147,0.33121830772516475,0.3634576225751503,0.37194244820052486,0.9947626778853984,0.7362680897780216,0.9962390429192335,0.3857519558144483,0.7278988483454242,0.5230102526749117,0.48401121630749916,0.39438007860015095,0.9948364497859631,0.9961184795445841,0.7978409638872388,0.0,0.4248100651334782,0.8912647761022584,0.41326249721206404,0.9846968933527399,0.6384715871695912,0.8925247329008683,0.98897313624445,0.36239552443475626,0.968626384157222,0.9840921790327709,0.37023027814799886,0.39023174082465734,0.9989931215239601,0.9979085878914763,0.46229356773201197,0.7931405929910078,0.11202949689243887,0.3841641466916568,0.36958093602779546,0.999100408279965
temp_1_of_furnace_b_inner_adegc,0.21733516461440458,0.2790761311534621,0.9953937149583503,0.992828654114851,0.9940569078242452,0.9900289751291986,0.993209823681976,0.992349620481828,0.3952895354590132,0.6042113328693098,0.4177099445886633,0.644638512953118,0.9117369258050027,0.9822481695906848,0.9865488086080971,0.9909580590275502,0.3738250603938702,0.43110979986866294,0.766423550403455,0.4248100651334782,0.0,0.7125281619731061,0.9963270480701144,0.32921645555771584,0.9469685584322752,0.10466017324556712,0.3477833715782258,0.991448258868896,0.3613014043716936,0.30192290550385087,0.9930316333348912,0.9928011092202332,0.41550994089886695,0.4013472387084577,0.7660401846200777,0.5646011452857176,0.21421429499344968,0.9936570105873946,0.9925191194093251,0.4212075909796349
temp_3_of_furnace_a_inner_adegc,0.8032948841451514,0.8174947582667982,0.708665736915153,0.6915502915617215,0.7110133860281025,0.6409148479596112,0.6648379178903928,0.6715869668119965,0.8759038849220164,0.7759440241003136,0.8861819292327778,0.003904090858451196,0.902392721345298,0.7821223294365773,0.7563072961830641,0.6893526028079683,0.8668334593552192,0.892156742685623,0.8883195724152687,0.8912647761022584,0.7125281619731061,0.0,0.7051451254978663,0.8423201766346758,0.8512339571979448,0.6880697851445347,0.8527857931526259,0.6692758909355149,0.878253249419575,0.8301953499589191,0.6742896121811485,0.68721804935794,0.8861408249095564,0.8799200371363078,0.6350162399010981,0.7966048913570565,0.1899135531107931,0.683354237978255,0.6736594958918993,0.8887699644555918
temp_3_of_furnace_b_inner_adegc,0.21049687504469658,0.2677056123864618,0.9929164777616468,0.9906867458120803,0.9972632307813571,0.992704060058332,0.9940235810968856,0.9937209445740759,0.38417345780292433,0.5977269292330244,0.4067335972227158,0.6611236821645434,0.9123371034885929,0.9828042447251161,0.9886825611962821,0.9914568892502527,0.36238576297299274,0.4199736981762086,0.759685379935482,0.41326249721206404,0.9963270480701144,0.7051451254978663,0.0,0.3180867004605147,0.9487622651667957,0.0952846787175146,0.33648231336020823,0.9957226717775268,0.35203923703404383,0.2905526676011957,0.9964960429350826,0.9943214698179109,0.40399494676279707,0.3898767008507048,0.7624157993642742,0.5581680891190876,0.21407363718296682,0.9980543995011358,0.9967432771265846,0.40967360276107545
temp_of_3_lph_outl_wtr_adegc,0.9438109780470375,0.9918217344558509,0.32087505110758135,0.29838381958556753,0.32385603673726143,0.2295019725795688,0.2627758556839217,0.27129008036896207,0.9873219071096214,0.7054995776987381,0.9845654678900878,0.4669011719277888,0.6582555410884702,0.43759560250653373,0.3979114114728358,0.29614225525739885,0.9891935612055117,0.9840907005835179,0.7477435503046244,0.9846968933527399,0.32921645555771584,0.8423201766346758,0.3180867004605147,0.0,0.5638551701092659,0.9398976016606019,0.9970405668009116,0.26449017971638694,0.9684166380913021,0.9929671042530926,0.2724737991788957,0.2916969403311051,0.986920016827884,0.9869656001919493,0.382923830478702,0.7620447511769732,0.11641780525797149,0.2867680895024825,0.27309687612213956,0.9861898183772121
temp_of_4_lph_outl_wtr_adegc,0.40972879326440376,0.5111845115335635,0.9398668625496844,0.9311618234203721,0.9472505234098937,0.9118493903350715,0.922385811560772,0.9259337883879066,0.6109693858576382,0.6933478486016894,0.6287212528203107,0.43689551730796844,0.9799404985084055,0.9762318515519716,0.9706270298565055,0.935406503831533,0.5927848679905515,0.6407921925322322,0.8466650570222037,0.6384715871695912,0.9469685584322752,0.8512339571979448,0.9487622651667957,0.5638551701092659,0.0,0.3374165625183098,0.5815580251358226,0.9323701219244496,0.5770158153352644,0.531762969451393,0.9347210158979896,0.9358893226749934,0.6307488258438138,0.6167298127919808,0.7547932013748323,0.6825481749339848,0.20643095785283175,0.9403038901280751,0.93562050633719,0.636008468153613
temp_of_cnd_pump_outl_header_adegc,0.8505339612022506,0.9540298864677591,0.09813201082768219,0.07709665048680014,0.10326089032622711,0.010267334160194293,0.04344208367634348,0.0503390215987618,0.9037794969264219,0.590028298955745,0.8975869302229111,0.611286078400295,0.4544858931775628,0.21075132213742603,0.17049294618736874,0.07176776516609105,0.9161548265283666,0.8982418878104503,0.6340868665976176,0.8925247329008683,0.10466017324556712,0.6880697851445347,0.0952846787175146,0.9398976016606019,0.3374165625183098,0.0,0.9291362226585341,0.040909484510320594,0.9049664958448972,0.946590492453512,0.04831469580930762,0.06834921237928092,0.8973553102357265,0.9042721916809557,0.22803868412984835,0.6823275842427872,0.1348396794461856,0.06251525355808432,0.04957442995852529,0.8942416998017154
temp_of_cnd_water_of_dea_inl_adegc,0.9456742197281484,0.9889174968991692,0.33927011868461215,0.3165637736467515,0.3420461462981637,0.24760264173277283,0.28086735473362395,0.28948797910025714,0.987934438458755,0.7008164559944241,0.9861734073536429,0.45252835128918933,0.6725498487179828,0.45451156110419055,0.4152092487965892,0.31377207255718964,0.9904072919858664,0.9865503015206829,0.7548318467010374,0.98897313624445,0.3477833715782258,0.8527857931526259,0.33648231336020823,0.9970405668009116,0.5815580251358226,0.9291362226585341,0.0,0.2831678145751089,0.9695251978638229,0.9909409587627418,0.29091271828919885,0.30947018289433814,0.990470574313804,0.9896054483924698,0.3965445387811669,0.7649886409149488,0.11417181820238181,0.3054629010452188,0.2917187649167839,0.9904167398784055
temp_of_furnace_a_outl_adegc,0.18100614741157667,0.21295215913559432,0.9913036752073322,0.990908014396985,0.9959701840262216,0.9941288231241052,0.9947438369272517,0.9955268897177452,0.3320900792142783,0.5632890585253816,0.35496793912351216,0.70272054845221,0.8898458319538182,0.9750428565930447,0.9830988855958702,0.9915184981648344,0.3095405400997658,0.3687819612662876,0.7281376223458427,0.36239552443475626,0.991448258868896,0.6692758909355149,0.9957226717775268,0.26449017971638694,0.9323701219244496,0.040909484510320594,0.2831678145751089,0.0,0.30091736726685797,0.2361777021742181,0.9992318886791195,0.9952659984047432,0.3515011805934122,0.33743198017967657,0.7619355866846418,0.5321483369216373,0.18923599915408554,0.9986210070353516,0.9994682945633784,0.3571471167310447
temp_of_furnace_b_outl_adegc,0.9969371550140361,0.9657770866505405,0.3530222269385389,0.33264276969328027,0.3607852869212293,0.26785317218928,0.3001536302286938,0.30978379802153094,0.9685239079244338,0.6960303461378946,0.9684115415738705,0.4137981815908828,0.6727368944834463,0.46263214435412536,0.423950105094571,0.32741339060769814,0.9705612368938548,0.968521498589527,0.7594270991903749,0.968626384157222,0.3613014043716936,0.878253249419575,0.35203923703404383,0.9684166380913021,0.5770158153352644,0.9049664958448972,0.9695251978638229,0.30091736726685797,0.0,0.9681183861688062,0.30811768575776655,0.3258325801601441,0.9701503148254328,0.9703453894051594,0.4067074809969186,0.7658879131150899,0.11103366311090013,0.32138911591736047,0.30896743353115563,0.96976367359874
temp_of_gas_in_aph_outl_adegc,0.9475866921705863,0.9993693950041447,0.29567712499041054,0.2740386350153424,0.29865366715218056,0.20437244295492715,0.23787263724062974,0.24635984645461934,0.9883375590042786,0.6974009059342383,0.9860507193307966,0.49455123904756376,0.6355542010477492,0.40878339270394676,0.36776636478090347,0.27326556489398834,0.9936399490574701,0.9869680255084023,0.7491801659490899,0.9840921790327709,0.30192290550385087,0.8301953499589191,0.2905526676011957,0.9929671042530926,0.531762969451393,0.946590492453512,0.9909409587627418,0.2361777021742181,0.9681183861688062,0.0,0.24496950258003625,0.266430235444357,0.9869673256094766,0.9887847284767713,0.37884217692484146,0.7658425614925434,0.11545516420557692,0.25872930150362644,0.24482296167522438,0.9854059387743658
temp_of_gas_in_ltr_side_a_inl_adegc,0.18236575448425366,0.22187320126006013,0.9927297262159726,0.9925040332715152,0.9964959361869509,0.9945792026207914,0.9956829428389008,0.9960335483155873,0.3407844101495714,0.5687939399042226,0.36362838773690215,0.6955957270321199,0.8935181748784842,0.9771170325843217,0.9846740983444696,0.9936230357109354,0.3184402608252885,0.3774333279936062,0.7350461556446252,0.37023027814799886,0.9930316333348912,0.6742896121811485,0.9964960429350826,0.2724737991788957,0.9347210158979896,0.04831469580930762,0.29091271828919885,0.9992318886791195,0.30811768575776655,0.24496950258003625,0.0,0.9970974018736245,0.36009605551847823,0.34625582114636916,0.7622451053686914,0.5358073238708551,0.1951373686205416,0.9987276833094603,0.9992597454352307,0.36545778185703537
temp_of_gas_in_ltr_side_a_outl_adegc,0.19775940116243634,0.24345213619256037,0.9934403423305338,0.9934365857181481,0.9946720727485245,0.9919753977425493,0.994274156909715,0.9942248738542734,0.36203702714056507,0.5884838901620493,0.38479335924415276,0.6720154720084383,0.8995015904563787,0.9789978034369298,0.9845080279061706,0.9966346334765187,0.34055113675633697,0.39862285107375156,0.7521730120951338,0.39023174082465734,0.9928011092202332,0.68721804935794,0.9943214698179109,0.2916969403311051,0.9358893226749934,0.06834921237928092,0.30947018289433814,0.9952659984047432,0.3258325801601441,0.266430235444357,0.9970974018736245,0.0,0.3805297609292795,0.36794896063828914,0.7777255736412876,0.5573137940662448,0.1885916919660198,0.9953156572266382,0.9955229506747153,0.385433110803716
temp_of_gas_in_ltr_side_b_inl_adegc,0.950301748196223,0.9826089435656122,0.4094906587899315,0.38852794779410577,0.4118464364239083,0.32052959083242144,0.3532088379406076,0.3619783388705564,0.9959802311639326,0.7347004145647492,0.9970781464533897,0.3953124985519847,0.721545330192802,0.514624827456525,0.47541936153029407,0.38501281117882524,0.9964391900049498,0.9968735037369375,0.7943954893312751,0.9989931215239601,0.41550994089886695,0.8861408249095564,0.40399494676279707,0.986920016827884,0.6307488258438138,0.8973553102357265,0.990470574313804,0.3515011805934122,0.9701503148254328,0.9869673256094766,0.36009605551847823,0.3805297609292795,0.0,0.9990603309629418,0.45516474517902633,0.7914224597730225,0.11256234902509864,0.3734202549791312,0.3596612025752023,0.9997425252724971
temp_of_gas_in_ltr_side_b_outl_adegc,0.9521675678158688,0.9848868411005431,0.3961083296290826,0.37544361382026153,0.3982582059269047,0.30704794604450136,0.3397550051202848,0.34846797763672543,0.996433194557389,0.7321121646950447,0.9972864814769199,0.40781921657844167,0.7111764051056223,0.5012907801182631,0.46162990475172355,0.3726239815504665,0.9979698351091995,0.9973234940365949,0.7927695954277212,0.9979085878914763,0.4013472387084577,0.8799200371363078,0.3898767008507048,0.9869656001919493,0.6167298127919808,0.9042721916809557,0.9896054483924698,0.33743198017967657,0.9703453894051594,0.9887847284767713,0.34625582114636916,0.36794896063828914,0.9990603309629418,0.0,0.44937794933461145,0.7914579786811726,0.1111185138829083,0.35936846186708515,0.3453890466976686,0.9982596467030431
temp_of_hpfa_fan_a_outl_adegc,0.2996994559769682,0.3630180672723386,0.7768254360925546,0.7788627686802824,0.7754579004071323,0.7538894399107564,0.7641969536507652,0.7694851718537511,0.4424780993095379,0.5942621760035742,0.45933191539320595,0.38042695493063355,0.7633460904888609,0.7855036156221015,0.7741401102712642,0.780281085505128,0.4327804002618183,0.4741849831391091,0.7650661318438885,0.46229356773201197,0.7660401846200777,0.6350162399010981,0.7624157993642742,0.382923830478702,0.7547932013748323,0.22803868412984835,0.3965445387811669,0.7619355866846418,0.4067074809969186,0.37884217692484146,0.7622451053686914,0.7777255736412876,0.45516474517902633,0.44937794933461145,0.0,0.813789883724047,0.15566996429063035,0.7586463373673988,0.7635323753547263,0.45761851386495594
temp_of_hpfa_fan_b_outl_adegc,0.6512359286554656,0.7589707113652143,0.5711932247050622,0.562022410174604,0.5763171197596515,0.5068193153516989,0.533514011142552,0.5424785104531685,0.7875371931516255,0.7204851290308282,0.7955490275809437,0.07644934153806064,0.7582616161236895,0.6415606379458564,0.6104208553104398,0.5599150590269001,0.7872310584237514,0.8050701549316203,0.8626707176765561,0.7931405929910078,0.5646011452857176,0.7966048913570565,0.5581680891190876,0.7620447511769732,0.6825481749339848,0.6823275842427872,0.7649886409149488,0.5321483369216373,0.7658879131150899,0.7658425614925434,0.5358073238708551,0.5573137940662448,0.7914224597730225,0.7914579786811726,0.813789883724047,0.0,0.09039772880904456,0.5393558640309954,0.5380537547897168,0.7908605784897337
temp_of_hpfa_fan_c_outl_adegc,0.03855255643653415,0.11572084882384555,0.2010688285104534,0.19229971873642546,0.19268887612801658,0.2049149324503859,0.19789465139910317,0.1868213526807081,0.10968856766106987,0.15824984363721015,0.11399150768720599,0.1216232248070904,0.20200900920876455,0.19553556261192132,0.2037879260546794,0.19493374908915442,0.11026580642955615,0.12122545563068096,0.23794598981345993,0.11202949689243887,0.21421429499344968,0.1899135531107931,0.21407363718296682,0.11641780525797149,0.20643095785283175,0.1348396794461856,0.11417181820238181,0.18923599915408554,0.11103366311090013,0.11545516420557692,0.1951373686205416,0.1885916919660198,0.11256234902509864,0.1111185138829083,0.15566996429063035,0.09039772880904456,0.0,0.20225007540585904,0.1892441318066704,0.11225080603950822
temperature_of_cyclone_a_inlet_adegc,0.19631551693275018,0.2356170289401261,0.9926234567355389,0.990833640373171,0.9963911692645702,0.9945464246805548,0.9951473949755789,0.994802920402699,0.3538829867468934,0.5772911950786923,0.3766678142815867,0.6856319509082244,0.8998547599280912,0.9786748342818654,0.986074961623608,0.9920719367499015,0.3315935274705979,0.3902276496290485,0.7407091726840103,0.3841641466916568,0.9936570105873946,0.683354237978255,0.9980543995011358,0.2867680895024825,0.9403038901280751,0.06251525355808432,0.3054629010452188,0.9986210070353516,0.32138911591736047,0.25872930150362644,0.9987276833094603,0.9953156572266382,0.3734202549791312,0.35936846186708515,0.7586463373673988,0.5393558640309954,0.20225007540585904,0.0,0.9986011237588244,0.37904557630374114
temperature_of_cyclone_b_inlet_adegc,0.17788084271630866,0.22175040529936124,0.9913340048233796,0.9911775017764303,0.9969029236757055,0.993811113202978,0.9950093105059998,0.9957190773387096,0.33988655233966836,0.5688579301087281,0.3627848041553446,0.6966512361368856,0.8939564666265192,0.9770471131422375,0.9847396492012698,0.9917817003069874,0.317592629428132,0.3764937232543685,0.7331046418712593,0.36958093602779546,0.9925191194093251,0.6736594958918993,0.9967432771265846,0.27309687612213956,0.93562050633719,0.04957442995852529,0.2917187649167839,0.9994682945633784,0.30896743353115563,0.24482296167522438,0.9992597454352307,0.9955229506747153,0.3596612025752023,0.3453890466976686,0.7635323753547263,0.5380537547897168,0.1892441318066704,0.9986011237588244,0.0,0.36535331099155866
temperature_of_cyclone_c_inlet_adegc,0.9491698502077294,0.9807435664570924,0.41484308230123085,0.3936541050854203,0.4172987471807795,0.32585865238037454,0.3585821432680601,0.3673619135827167,0.9949738171680892,0.7345021589075964,0.9962658852693492,0.39006038556105804,0.7252251137853386,0.5196015747520996,0.4805845099059512,0.3897469915272071,0.9952743370098363,0.9960168327229729,0.7943345232298548,0.999100408279965,0.4212075909796349,0.8887699644555918,0.40967360276107545,0.9861898183772121,0.636008468153613,0.8942416998017154,0.9904167398784055,0.3571471167310447,0.96976367359874,0.9854059387743658,0.36545778185703537,0.385433110803716,0.9997425252724971,0.9982596467030431,0.45761851386495594,0.7908605784897337,0.11225080603950822,0.37904557630374114,0.36535331099155866,0.0
